conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
161,TLS_AES_256_GCM_SHA384,ML-KEM-512,126600.00,0.00,197.00,166.00,84041.00
162,TLS_AES_256_GCM_SHA384,ML-KEM-512,125192.00,0.00,139.00,230.00,81855.00
163,TLS_AES_256_GCM_SHA384,ML-KEM-512,125385.00,0.00,299.00,167.00,82483.00
164,TLS_AES_256_GCM_SHA384,ML-KEM-512,126075.00,0.00,297.00,148.00,82447.00
165,TLS_AES_256_GCM_SHA384,ML-KEM-512,126835.00,1.00,247.00,171.00,83607.00
166,TLS_AES_256_GCM_SHA384,ML-KEM-512,126513.00,0.00,157.00,153.00,83758.00
167,TLS_AES_256_GCM_SHA384,ML-KEM-512,127130.00,0.00,278.00,172.00,83956.00
168,TLS_AES_256_GCM_SHA384,ML-KEM-512,126815.00,0.00,189.00,159.00,83716.00
169,TLS_AES_256_GCM_SHA384,ML-KEM-512,125860.00,0.00,210.00,163.00,82550.00
170,TLS_AES_256_GCM_SHA384,ML-KEM-512,127876.00,0.00,219.00,195.00,84257.00
171,TLS_AES_256_GCM_SHA384,ML-KEM-512,126691.00,0.00,149.00,161.00,83243.00
172,TLS_AES_256_GCM_SHA384,ML-KEM-512,126004.00,0.00,187.00,207.00,82742.00
173,TLS_AES_256_GCM_SHA384,ML-KEM-512,126506.00,0.00,279.00,193.00,83762.00
174,TLS_AES_256_GCM_SHA384,ML-KEM-512,126913.00,0.00,318.00,197.00,83861.00
175,TLS_AES_256_GCM_SHA384,ML-KEM-512,125929.00,0.00,206.00,160.00,82932.00
176,TLS_AES_256_GCM_SHA384,ML-KEM-512,126814.00,0.00,216.00,142.00,83953.00
177,TLS_AES_256_GCM_SHA384,ML-KEM-512,125949.00,0.00,212.00,169.00,82927.00
178,TLS_AES_256_GCM_SHA384,ML-KEM-512,128576.00,0.00,250.00,158.00,83458.00
179,TLS_AES_256_GCM_SHA384,ML-KEM-512,125076.00,0.00,202.00,167.00,81758.00
180,TLS_AES_256_GCM_SHA384,ML-KEM-512,126755.00,0.00,225.00,197.00,83296.00
181,TLS_AES_256_GCM_SHA384,ML-KEM-512,126826.00,0.00,262.00,172.00,83442.00
182,TLS_AES_256_GCM_SHA384,ML-KEM-512,126222.00,0.00,225.00,176.00,83295.00
183,TLS_AES_256_GCM_SHA384,ML-KEM-512,125742.00,0.00,217.00,151.00,82175.00
184,TLS_AES_256_GCM_SHA384,ML-KEM-512,126635.00,0.00,220.00,155.00,83546.00
185,TLS_AES_256_GCM_SHA384,ML-KEM-512,126718.00,0.00,172.00,161.00,83684.00
186,TLS_AES_256_GCM_SHA384,ML-KEM-512,126048.00,0.00,125.00,166.00,82827.00
187,TLS_AES_256_GCM_SHA384,ML-KEM-512,125703.00,0.00,178.00,156.00,82856.00
188,TLS_AES_256_GCM_SHA384,ML-KEM-512,124869.00,0.00,180.00,175.00,82291.00
189,TLS_AES_256_GCM_SHA384,ML-KEM-512,126839.00,0.00,208.00,170.00,83847.00
190,TLS_AES_256_GCM_SHA384,ML-KEM-512,127938.00,0.00,259.00,196.00,84178.00
191,TLS_AES_256_GCM_SHA384,ML-KEM-512,128837.00,1.00,246.00,150.00,82823.00
192,TLS_AES_256_GCM_SHA384,ML-KEM-512,126824.00,0.00,214.00,168.00,83639.00
193,TLS_AES_256_GCM_SHA384,ML-KEM-512,126824.00,0.00,257.00,166.00,83566.00
194,TLS_AES_256_GCM_SHA384,ML-KEM-512,126597.00,0.00,156.00,137.00,84004.00
195,TLS_AES_256_GCM_SHA384,ML-KEM-512,126002.00,0.00,210.00,159.00,82657.00
196,TLS_AES_256_GCM_SHA384,ML-KEM-512,127070.00,0.00,224.00,194.00,83509.00
197,TLS_AES_256_GCM_SHA384,ML-KEM-512,126642.00,0.00,207.00,167.00,83839.00
198,TLS_AES_256_GCM_SHA384,ML-KEM-512,126936.00,0.00,212.00,161.00,83801.00
199,TLS_AES_256_GCM_SHA384,ML-KEM-512,127793.00,0.00,191.00,171.00,84008.00
200,TLS_AES_256_GCM_SHA384,ML-KEM-512,127698.00,1.00,208.00,191.00,83960.00
201,TLS_AES_256_GCM_SHA384,ML-KEM-512,129759.00,0.00,265.00,130.00,83626.00
