conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
83,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,414175.00,0.00,254.00,50.00,45860.00
84,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,339567.00,0.00,242.00,40.00,45102.00
85,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,281923.00,0.00,219.00,40.00,45137.00
86,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,148114.00,1.00,244.00,42.00,45169.00
87,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,200868.00,0.00,214.00,44.00,45567.00
88,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,141819.00,0.00,247.00,42.00,44885.00
89,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,149768.00,0.00,227.00,40.00,44934.00
90,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,202916.00,0.00,212.00,39.00,45828.00
91,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,188027.00,0.00,409.00,46.00,45127.00
92,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,164677.00,0.00,216.00,40.00,45860.00
93,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,292954.00,0.00,245.00,40.00,44925.00
94,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,750575.00,0.00,240.00,40.00,44791.00
95,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,256016.00,1.00,240.00,39.00,45062.00
96,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,332792.00,0.00,226.00,41.00,45251.00
97,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,184880.00,0.00,216.00,40.00,45272.00
98,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,293951.00,0.00,237.00,42.00,45580.00
99,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,828769.00,0.00,224.00,40.00,44665.00
100,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,234826.00,0.00,238.00,42.00,45488.00
101,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,296795.00,0.00,217.00,40.00,45478.00
102,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,509098.00,0.00,252.00,41.00,44990.00
103,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,405774.00,0.00,213.00,41.00,45891.00
104,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,276901.00,0.00,225.00,59.00,44951.00
105,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,316805.00,0.00,218.00,40.00,45126.00
106,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,295851.00,1.00,238.00,40.00,44832.00
107,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,188663.00,1.00,236.00,39.00,44964.00
108,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,262190.00,0.00,213.00,40.00,44837.00
109,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,377679.00,0.00,220.00,40.00,45407.00
110,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,305928.00,0.00,217.00,41.00,44887.00
111,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,396808.00,0.00,241.00,42.00,45165.00
112,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,375988.00,0.00,215.00,40.00,44508.00
113,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,238700.00,0.00,232.00,41.00,45828.00
114,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,219635.00,0.00,224.00,40.00,45558.00
115,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,486072.00,0.00,218.00,39.00,44845.00
116,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,453638.00,0.00,226.00,40.00,45526.00
117,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,430338.00,0.00,310.00,40.00,45057.00
118,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,333801.00,0.00,239.00,41.00,45222.00
119,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,256855.00,0.00,239.00,41.00,45396.00
120,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,232537.00,0.00,306.00,46.00,44672.00
121,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,184079.00,0.00,243.00,43.00,45342.00
122,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,391091.00,0.00,217.00,40.00,44810.00
