conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
102,TLS_AES_256_GCM_SHA384,X25519,45237.00,315.00,405.00,129.00,1781.00
103,TLS_AES_256_GCM_SHA384,X25519,43895.00,216.00,442.00,137.00,1207.00
104,TLS_AES_256_GCM_SHA384,X25519,44215.00,199.00,395.00,116.00,1108.00
105,TLS_AES_256_GCM_SHA384,X25519,44875.00,326.00,510.00,153.00,1347.00
106,TLS_AES_256_GCM_SHA384,X25519,44849.00,333.00,503.00,149.00,1258.00
107,TLS_AES_256_GCM_SHA384,X25519,44399.00,252.00,514.00,152.00,1493.00
108,TLS_AES_256_GCM_SHA384,X25519,44822.00,244.00,587.00,129.00,1408.00
109,TLS_AES_256_GCM_SHA384,X25519,43855.00,224.00,284.00,103.00,1170.00
110,TLS_AES_256_GCM_SHA384,X25519,44299.00,204.00,317.00,102.00,1047.00
111,TLS_AES_256_GCM_SHA384,X25519,45437.00,297.00,472.00,149.00,2105.00
112,TLS_AES_256_GCM_SHA384,X25519,44081.00,258.00,445.00,132.00,1206.00
113,TLS_AES_256_GCM_SHA384,X25519,44703.00,275.00,500.00,149.00,1465.00
114,TLS_AES_256_GCM_SHA384,X25519,45158.00,257.00,498.00,136.00,1339.00
115,TLS_AES_256_GCM_SHA384,X25519,44564.00,293.00,500.00,183.00,1351.00
116,TLS_AES_256_GCM_SHA384,X25519,44254.00,226.00,448.00,134.00,1162.00
117,TLS_AES_256_GCM_SHA384,X25519,45851.00,356.00,598.00,158.00,1603.00
118,TLS_AES_256_GCM_SHA384,X25519,44745.00,259.00,485.00,183.00,1363.00
119,TLS_AES_256_GCM_SHA384,X25519,44447.00,396.00,448.00,173.00,1175.00
120,TLS_AES_256_GCM_SHA384,X25519,44752.00,371.00,470.00,217.00,1041.00
121,TLS_AES_256_GCM_SHA384,X25519,44738.00,414.00,633.00,248.00,1313.00
122,TLS_AES_256_GCM_SHA384,X25519,45199.00,227.00,459.00,126.00,1653.00
123,TLS_AES_256_GCM_SHA384,X25519,44521.00,325.00,529.00,148.00,1296.00
124,TLS_AES_256_GCM_SHA384,X25519,44827.00,326.00,506.00,150.00,1331.00
125,TLS_AES_256_GCM_SHA384,X25519,44777.00,250.00,505.00,394.00,1218.00
126,TLS_AES_256_GCM_SHA384,X25519,44903.00,336.00,527.00,150.00,1391.00
127,TLS_AES_256_GCM_SHA384,X25519,44519.00,333.00,527.00,150.00,1402.00
128,TLS_AES_256_GCM_SHA384,X25519,44248.00,226.00,372.00,110.00,1092.00
129,TLS_AES_256_GCM_SHA384,X25519,43659.00,216.00,416.00,122.00,1206.00
130,TLS_AES_256_GCM_SHA384,X25519,43898.00,200.00,397.00,124.00,1451.00
131,TLS_AES_256_GCM_SHA384,X25519,44989.00,218.00,379.00,112.00,1149.00
132,TLS_AES_256_GCM_SHA384,X25519,44835.00,215.00,420.00,134.00,1279.00
133,TLS_AES_256_GCM_SHA384,X25519,44896.00,227.00,457.00,156.00,1273.00
134,TLS_AES_256_GCM_SHA384,X25519,43862.00,198.00,403.00,121.00,1161.00
135,TLS_AES_256_GCM_SHA384,X25519,44600.00,244.00,372.00,112.00,1132.00
136,TLS_AES_256_GCM_SHA384,X25519,43195.00,128.00,264.00,80.00,745.00
